Title,Mu,Flesch,Frases,Palabras,Sinonimos,Abreviaturas,Siglas,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,Articles_number,Preposition_number,Noun,Desconocidas,Tipo
CertificadoEmpresaH,43.74,17.0,6,167,2.9940119760479043,0.5988023952095808,0.0,0,0,0,0,0,0,38.92215568862275,Dificil
CertificadoFacilH,45.4,14.8,47,911,1.2074643249176729,0.9879253567508233,1.756311745334797,0,0,0,0,0,0,34.46761800219539,Dificil
CertificadoMatrimonioWebH,41.3,15.0,7,184,0.5434782608695652,0.0,0.0,0,0,0,0,0,0,23.91304347826087,Dificil
CertificadoRetencionesIRPF2019FacilH,40.81,18.2,33,877,0.798175598631699,0.9122006841505131,3.30672748004561,0,0,0,0,0,0,27.137970353477765,Dificil
CertificadosH,45.73,20.7,57,1499,1.534356237491661,0.66711140760507,1.9346230820547032,0,0,0,0,0,0,31.62108072048032,Dificil
CitaPreviaAgenciaTributariaH,48.72,17.3,30,673,1.9316493313521546,1.9316493313521546,1.9316493313521546,0,0,0,0,0,0,26.448736998514114,Dificil
CitaPreviaDGTH,48.65,17.7,29,745,1.342281879194631,2.0134228187919465,0.40268456375838924,0,0,0,0,0,0,31.140939597315437,Dificil
CitaPreviaExtranjeriaHuellasH,39.69,37.8,10,361,1.9390581717451523,1.9390581717451523,2.770083102493075,0,0,0,0,0,0,31.024930747922436,Dificil
CitaPreviaHaciendaH,48.72,17.3,30,673,1.9316493313521546,1.9316493313521546,1.9316493313521546,0,0,0,0,0,0,26.448736998514114,Dificil
CitaPreviaINEMTelefonoH,198.89,82.4,1,225,0.0,0.0,1.7777777777777777,0,0,0,0,0,0,89.33333333333333,Dificil
CitaPreviaRenovarDNIPasaporteH,50.18,9.2,15,238,0.42016806722689076,2.9411764705882355,3.361344537815126,0,0,0,0,0,0,29.41176470588235,Dificil
CitaPreviaSanitariaH,51.89,13.3,8,159,0.0,2.5157232704402515,2.5157232704402515,0,0,0,0,0,0,30.81761006289308,Dificil
CitaPreviaSeguridadSocialH,47.96,18.8,4,134,1.492537313432836,7.462686567164179,1.492537313432836,0,0,0,0,0,0,31.34328358208955,Dificil
CitaPreviaServicioSanitarioAndaluzH,47.23,15.3,4,91,2.197802197802198,4.395604395604396,1.098901098901099,0,0,0,0,0,0,39.56043956043956,Dificil
CitaPreviaSESCAMH,55.46,24.0,5,189,1.0582010582010581,1.0582010582010581,2.6455026455026456,0,0,0,0,0,0,29.62962962962963,Dificil
CitaPreviaVacunacionMadridH,42.16,17.0,7,136,0.0,1.4705882352941178,2.2058823529411766,0,0,0,0,0,0,25.0,Dificil
CobrarParoEmpezarTrabajarH,47.9,26.2,14,640,1.09375,2.8125,0.625,0,0,0,0,0,0,25.3125,Dificil
CobrarParoEnExtranjeroH,44.38,23.7,9,347,1.440922190201729,1.1527377521613833,1.1527377521613833,0,0,0,0,0,0,28.530259365994237,Dificil
CobrarParoPluriempleoH,47.57,18.6,4,115,1.7391304347826086,1.7391304347826086,6.086956521739131,0,0,0,0,0,0,20.0,Dificil
CobrarParoReduceJornadaH,51.86,18.1,5,176,0.5681818181818182,2.840909090909091,2.272727272727273,0,0,0,0,0,0,23.295454545454547,Dificil
CobrarParoTrabajarTiempoParcialH,40.13,29.0,8,291,1.7182130584192439,2.4054982817869415,1.0309278350515463,0,0,0,0,0,0,26.460481099656356,Dificil
CobrarParoTrasBajaVoluntariaH,53.29,25.9,4,235,1.702127659574468,0.425531914893617,0.425531914893617,0,0,0,0,0,0,20.851063829787233,Dificil
CompromisoActividadH,42.1,18.8,5,173,0.5780346820809249,1.1560693641618498,1.1560693641618498,0,0,0,0,0,0,31.791907514450866,Dificil
ConsultaDevolucionRentaH,39.78,35.7,1,83,1.2048192771084338,13.25301204819277,0.0,0,0,0,0,0,0,33.734939759036145,Dificil
ConsultarDudasSEPEH,47.95,10.3,19,438,0.684931506849315,1.36986301369863,0.45662100456621,0,0,0,0,0,0,37.21461187214612,Dificil
ContratoEnPracticasH,45.0,24.3,9,159,3.7735849056603774,1.8867924528301887,1.2578616352201257,0,0,0,0,0,0,30.81761006289308,Dificil
ContratoIndefinidoApoyoEmprendedoresH,42.43,44.9,10,341,2.346041055718475,2.932551319648094,0.5865102639296188,0,0,0,0,0,0,33.43108504398827,Dificil
ContratoIndefinidoH,43.15,18.9,3,112,1.7857142857142858,1.7857142857142858,0.0,0,0,0,0,0,0,29.464285714285715,Dificil
ContratoTemporalH,48.8,20.7,2,76,1.3157894736842106,1.3157894736842106,0.0,0,0,0,0,0,0,21.05263157894737,Dificil
ConvenioColectivoH,43.2,22.0,8,178,3.3707865168539324,0.0,0.0,0,0,0,0,0,0,29.213483146067414,Dificil
CoordinacionServiciosAutonomosEmpleoH,35.76,162.1,12,434,2.5345622119815667,0.9216589861751152,0.4608294930875576,0,0,0,0,0,0,27.1889400921659,Dificil
CuandoObligatoriaDeclaracionRentaH,42.21,27.8,20,718,0.9749303621169917,2.5069637883008355,0.0,0,0,0,0,0,0,39.55431754874652,Dificil
CuentaBancariaH,45.11,13.3,20,382,0.7853403141361257,0.7853403141361257,1.8324607329842932,0,0,0,0,0,0,27.74869109947644,Dificil
CurriculumEuropeoH,56.86,31.8,5,71,0.0,0.0,0.0,0,0,0,0,0,0,33.80281690140845,Dificil
CursosINEMH,45.58,28.6,30,557,1.9748653500897666,0.718132854578097,0.5385996409335727,0,0,0,0,0,0,32.49551166965889,Dificil
DARDEH,44.54,22.7,4,112,2.6785714285714284,0.0,3.5714285714285716,0,0,0,0,0,0,28.571428571428573,Dificil
DarseBajaParoH,42.1,20.4,10,361,1.6620498614958448,1.9390581717451523,0.8310249307479224,0,0,0,0,0,0,28.808864265927976,Dificil
DeclaracionDeLaRentaH,48.55,31.8,5,157,0.0,0.6369426751592356,1.910828025477707,0,0,0,0,0,0,38.21656050955414,Dificil
DeclaracionDeLaRentaWebH,48.93,32.7,5,160,0.625,0.625,1.25,0,0,0,0,0,0,36.875,Dificil
DemandaEmpleoH,45.37,18.7,13,349,1.7191977077363896,2.005730659025788,1.146131805157593,0,0,0,0,0,0,27.507163323782233,Dificil
DiasHabilesH,30.31,63.0,2,161,0.6211180124223602,0.0,3.1055900621118013,0,0,0,0,0,0,44.099378881987576,Dificil
DNIElectronicoH,41.66,25.6,8,341,2.0527859237536656,0.2932551319648094,1.466275659824047,0,0,0,0,0,0,29.032258064516128,Dificil
DocumentacionPedirParoH,44.45,20.8,12,415,1.2048192771084338,1.6867469879518073,1.4457831325301205,0,0,0,0,0,0,27.46987951807229,Dificil
EREH,54.96,172.5,24,474,0.6329113924050633,2.320675105485232,5.274261603375527,0,0,0,0,0,0,30.168776371308017,Dificil
ExpedienteINEMH,50.29,12.4,6,138,0.0,0.7246376811594203,0.7246376811594203,0,0,0,0,0,0,28.985507246376812,Dificil
ExportarParoH,42.15,22.4,16,647,0.6182380216383307,2.009273570324575,1.0819165378670788,0,0,0,0,0,0,27.202472952086552,Dificil
InformeeVidaLaboralCertificadoDigitalH,50.27,17.1,12,278,1.7985611510791366,0.7194244604316546,0.7194244604316546,0,0,0,0,0,0,26.258992805755394,Dificil
InscribirseGarantiaJuvenilH,50.53,26.8,15,430,1.3953488372093024,2.558139534883721,0.23255813953488372,0,0,0,0,0,0,25.58139534883721,Dificil
InstalarActivarDNIElectronicoH,46.35,27.4,31,943,0.7423117709437964,2.1208907741251326,5.1961823966065745,0,0,0,0,0,0,45.705196182396605,Dificil
IPREM2019H,48.22,15.9,8,244,2.0491803278688523,0.819672131147541,4.508196721311475,0,0,0,0,0,0,31.147540983606557,Dificil
NuevaAyudaDesempleadosH,47.1,21.2,46,1311,0.9916094584286804,1.0678871090770403,1.2204424103737606,0,0,0,0,0,0,25.93440122044241,Dificil
OficinasSEPEH,146.66,14.6,2,73,0.0,0.0,0.0,0,0,0,0,0,0,60.273972602739725,Dificil
OficinaVirtualEmpleoH,49.18,21.3,2,63,3.1746031746031744,0.0,3.1746031746031744,0,0,0,0,0,0,28.571428571428573,Dificil
OlvidoSellarParoH,51.32,11.4,7,163,0.6134969325153374,0.0,3.067484662576687,0,0,0,0,0,0,31.901840490797547,Dificil
PagarMultasTraficoH,49.47,15.3,44,871,1.3777267508610793,1.9517795637198623,0.4592422502870264,0,0,0,0,0,0,29.73593570608496,Dificil
PagoUnicoH,47.48,22.4,11,457,1.75054704595186,2.4070021881838075,0.2188183807439825,0,0,0,0,0,0,21.2253829321663,Dificil
ParoEn2019H,48.47,38.2,2,217,0.4608294930875576,0.9216589861751152,5.0691244239631335,0,0,0,0,0,0,47.92626728110599,Dificil
ParoPrimeraVezH,41.55,24.2,37,1258,2.46422893481717,3.100158982511924,0.9538950715421304,0,0,0,0,0,0,24.880763116057235,Dificil
ParoSiendoFamiliarEmpresarioH,48.69,20.0,9,392,1.0204081632653061,3.061224489795918,2.0408163265306123,0,0,0,0,0,0,23.724489795918366,Dificil
PedirCitaSEPEH,41.09,19.5,7,196,1.530612244897959,0.5102040816326531,2.5510204081632653,0,0,0,0,0,0,37.755102040816325,Dificil
PedirTarjetaParoH,46.2,18.7,4,152,0.0,2.6315789473684212,2.6315789473684212,0,0,0,0,0,0,23.68421052631579,Dificil
PlanRetornoDobleNacionalidadH,48.51,26.2,22,865,2.1965317919075145,1.2716763005780347,0.6936416184971098,0,0,0,0,0,0,23.352601156069365,Dificil
PrestacionCeseActividadAutonomoH,44.95,19.0,14,489,2.044989775051125,0.0,1.0224948875255624,0,0,0,0,0,0,24.948875255623722,Dificil
PrestacionDesempleoEREExtincionH,44.83,20.0,18,619,2.10016155088853,2.10016155088853,1.938610662358643,0,0,0,0,0,0,23.101777059773827,Dificil
PrestacionDesempleoH,48.08,16.5,22,574,1.7421602787456445,1.7421602787456445,1.5679442508710801,0,0,0,0,0,0,21.60278745644599,Dificil
PrestacionMaternidadH,45.09,30.7,12,439,1.1389521640091116,2.9612756264236904,1.5945330296127562,0,0,0,0,0,0,23.462414578587698,Dificil
QuienesObligadosDeclaracionRentaH,42.21,25.9,20,718,0.9749303621169917,2.5069637883008355,0.0,0,0,0,0,0,0,39.55431754874652,Dificil
ReferenciaCatastralInmuebleH,40.05,29.2,32,859,2.0954598370197903,2.561117578579744,0.46565774155995343,0,0,0,0,0,0,31.19906868451688,Dificil
RentaAgrariaH,45.31,12.6,22,481,1.6632016632016633,1.4553014553014554,1.8711018711018712,0,0,0,0,0,0,28.482328482328484,Dificil
RentaMinimaDeInsercionH,47.18,27.6,23,586,2.04778156996587,1.1945392491467577,0.5119453924914675,0,0,0,0,0,0,30.034129692832764,Dificil
RenunciaPrestacionesDesempleoH,40.7,13.5,8,205,0.975609756097561,2.4390243902439024,3.902439024390244,0,0,0,0,0,0,22.926829268292682,Dificil
RetornoVoluntarioH,37.31,43.7,38,1397,2.5053686471009304,2.290622763063708,0.4294917680744452,0,0,0,0,0,0,29.63493199713672,Dificil
SalariosSocialesH,44.32,18.1,18,497,1.408450704225352,2.6156941649899395,3.2193158953722336,0,0,0,0,0,0,28.973843058350102,Dificil
SeguridadSocialH,47.29,26.2,9,405,1.4814814814814814,0.0,1.728395061728395,0,0,0,0,0,0,24.938271604938272,Dificil
SellarParoPorInternetH,46.29,13.5,19,324,0.9259259259259259,1.2345679012345678,0.9259259259259259,0,0,0,0,0,0,33.333333333333336,Dificil
SistemaCl@vePinH,48.85,13.2,8,173,0.0,0.5780346820809249,7.514450867052023,0,0,0,0,0,0,41.61849710982659,Dificil
SistemaNacionalGarantiaJuvenilH,51.28,19.7,14,387,1.0335917312661498,2.842377260981912,0.25839793281653745,0,0,0,0,0,0,22.997416020671835,Dificil
SolicitarBorradorDeclaracionRentaH,45.7,19.4,33,919,1.3057671381936888,1.9586507072905333,3.9173014145810665,0,0,0,0,0,0,33.949945593035906,Dificil
SolicitarCertificadoIRPFH,40.75,17.6,33,878,0.7972665148063781,0.9111617312072893,3.416856492027335,0,0,0,0,0,0,27.107061503416855,Dificil
SolicitarInformeVidaLaboralGeneralH,50.27,17.1,12,278,1.7985611510791366,0.7194244604316546,0.7194244604316546,0,0,0,0,0,0,26.258992805755394,Dificil
SubsidioMayores45H,44.99,15.9,24,555,1.2612612612612613,1.2612612612612613,1.4414414414414414,0,0,0,0,0,0,27.92792792792793,Dificil
TarjetaSanitariaEuropeaH,49.35,26.0,16,684,1.4619883040935673,1.1695906432748537,0.8771929824561403,0,0,0,0,0,0,36.40350877192982,Dificil
TelefonoInformacionSEPEH,45.24,9.6,17,360,0.5555555555555556,1.1111111111111112,0.5555555555555556,0,0,0,0,0,0,39.44444444444444,Dificil
TelefonosHaciendaAgenciaTributariaH,55.78,11.2,18,356,0.2808988764044944,1.1235955056179776,0.5617977528089888,0,0,0,0,0,0,48.87640449438202,Dificil
TrabajadoresParoDerechoVacacionesH,47.18,15.8,4,114,0.0,0.0,0.8771929824561403,0,0,0,0,0,0,28.07017543859649,Dificil
TramitesDGTH,63.62,12.0,4,126,0.7936507936507936,0.0,3.1746031746031744,0,0,0,0,0,0,38.095238095238095,Dificil
TramitesExtranjeriaEnEspañaH,39.99,109.4,5,295,0.6779661016949152,1.0169491525423728,1.0169491525423728,0,0,0,0,0,0,40.0,Dificil
TramitesHaciendaH,36.86,27.3,3,115,0.0,4.3478260869565215,3.4782608695652173,0,0,0,0,0,0,38.26086956521739,Dificil
TramitesINEMH,49.74,30.4,2,122,1.639344262295082,1.639344262295082,1.639344262295082,0,0,0,0,0,0,22.131147540983605,Dificil
VacacionesNoDisfrutadasParoH,47.84,20.2,8,306,2.287581699346405,2.6143790849673203,3.5947712418300655,0,0,0,0,0,0,18.627450980392158,Dificil
VerDatosEnLaSeguridadSocialH,47.46,12.4,7,133,0.7518796992481203,0.0,1.5037593984962405,0,0,0,0,0,0,34.58646616541353,Dificil
VidaLaboralH,50.8,20.4,13,285,1.7543859649122806,0.7017543859649122,0.7017543859649122,0,0,0,0,0,0,25.614035087719298,Dificil
AbogadosLaboristasAsesoramiento,47.04,23.7,23,812,1.7241379310344827,1.2315270935960592,0.7389162561576355,0,0,0,0,0,0,29.926108374384235,Facil
AdministraciónPúblicaElectrónica,40.73,27.9,10,457,1.0940919037199124,0.87527352297593,0.87527352297593,0,0,0,0,0,0,38.51203501094092,Facil
AltaAutonomosDiseñadoresProgramadores,50.58,15.5,32,859,1.280558789289872,2.7939464493597206,1.5133876600698486,0,0,0,0,0,0,31.78114086146682,Facil
AnularCitaPreviaINEM,56.3,13.5,29,769,1.3003901170351104,0.6501950585175552,1.9505851755526658,0,0,0,0,0,0,28.47854356306892,Facil
APPAgenciaTributariaRenta2019,45.2,15.0,28,769,0.6501950585175552,1.5604681404421326,1.6905071521456436,0,0,0,0,0,0,35.890767230169054,Facil
APRE,55.32,16.5,23,625,1.92,0.64,0.32,0,0,0,0,0,0,32.0,Facil
AutocalculoPrestacionesParo,49.8,23.8,18,612,1.4705882352941178,1.4705882352941178,1.3071895424836601,0,0,0,0,0,0,28.104575163398692,Facil
AutónomosAcreditarCeseFacil,44.64,16.2,50,1337,1.7950635751682873,1.8698578908002992,0.4487658937920718,0,0,0,0,0,0,26.62677636499626,Facil
AyudaFamiliarDesempleados,50.24,18.8,54,1657,1.388050694025347,0.7845503922751962,0.7845503922751962,0,0,0,0,0,0,37.175618587809296,Facil
AyudaLiberadosPrision,49.16,17.6,41,1328,1.5813253012048192,1.1295180722891567,0.7530120481927711,0,0,0,0,0,0,31.400602409638555,Facil
AyudasAlquilerViviendaFacil,49.04,23.7,46,1729,1.214574898785425,2.0821283979178715,0.9253903990746096,0,0,0,0,0,0,30.942741469057257,Facil
AyudasAutonomosParoFacil,50.79,16.2,43,1133,2.030008826125331,0.44130626654898497,0.794351279788173,0,0,0,0,0,0,32.21535745807591,Facil
AyudasDesempleadosMayores45,49.24,17.3,22,775,0.7741935483870968,0.3870967741935484,1.032258064516129,0,0,0,0,0,0,37.41935483870968,Facil
AyudasDespuesParo,48.78,15.6,43,960,1.25,1.875,1.5625,0,0,0,0,0,0,42.1875,Facil
AyudasEmigrantesRetornados,53.09,16.8,55,1476,1.5582655826558265,0.5420054200542005,1.5582655826558265,0,0,0,0,0,0,37.53387533875339,Facil
AyudasParadosLargaDuracionFacil,49.23,19.7,30,1171,0.5977796754910333,1.0247651579846284,2.134927412467976,0,0,0,0,0,0,30.913748932536294,Facil
AyudasRetornoHumanitario,46.26,15.1,32,695,0.8633093525179856,1.2949640287769784,0.4316546762589928,0,0,0,0,0,0,30.359712230215827,Facil
AyudasVictimasViolenciaGeneroFacil,50.81,21.1,30,998,2.6052104208416833,2.1042084168336674,1.9038076152304608,0,0,0,0,0,0,27.55511022044088,Facil
BecasParo,47.79,20.6,54,1657,1.2070006035003018,1.2070006035003018,0.8449004224502112,0,0,0,0,0,0,29.088714544357273,Facil
BuscarConvenioColectivo,50.44,23.9,25,905,1.5469613259668509,1.2154696132596685,0.5524861878453039,0,0,0,0,0,0,35.91160220994475,Facil
CalendarioDelContribuyente,49.03,25.8,14,725,0.8275862068965517,1.103448275862069,1.9310344827586208,0,0,0,0,0,0,34.206896551724135,Facil
CambioDomicilioINEM,48.84,18.1,31,902,0.5543237250554324,0.6651884700665188,1.8847006651884701,0,0,0,0,0,0,25.609756097560975,Facil
CertificadoDefuncion,49.29,14.5,51,1043,1.6299137104506232,0.7670182166826462,0.7670182166826462,0,0,0,0,0,0,30.68072866730585,Facil
CertificadoDelitosSexuales,49.43,19.6,33,1158,1.8998272884283247,1.468048359240069,0.690846286701209,0,0,0,0,0,0,31.51986183074266,Facil
CertificadoDigitalFacil,47.78,19.5,14,409,1.7114914425427872,2.2004889975550124,0.7334963325183375,0,0,0,0,0,0,32.27383863080684,Facil
CertificadoEmpresa,47.21,18.8,38,980,1.836734693877551,1.6326530612244898,1.3265306122448979,0,0,0,0,0,0,24.591836734693878,Facil
CertificadoFacil,47.04,19.6,16,609,1.9704433497536946,1.477832512315271,1.6420361247947455,0,0,0,0,0,0,29.064039408866996,Facil
CertificadoMatrimonioWeb,48.14,15.5,84,1827,1.2588943623426383,1.0399562123700055,1.20415982484948,0,0,0,0,0,0,30.979748221127533,Facil
CertificadoRetencionesIRPF2019Facil,51.4,18.5,23,752,0.9308510638297872,1.7287234042553192,4.787234042553192,0,0,0,0,0,0,33.37765957446808,Facil
Certificados,43.35,18.8,36,1085,2.304147465437788,1.2903225806451613,0.4608294930875576,0,0,0,0,0,0,25.99078341013825,Facil
CertificadosDigitales,47.67,18.7,27,690,1.8840579710144927,1.8840579710144927,1.8840579710144927,0,0,0,0,0,0,31.304347826086957,Facil
CitaPreviaAgenciaTributaria,49.22,14.3,66,1720,1.3953488372093024,1.627906976744186,1.686046511627907,0,0,0,0,0,0,29.941860465116278,Facil
CitaPreviaDGT,51.27,14.6,56,1041,1.2487992315081653,1.344860710854947,1.7291066282420748,0,0,0,0,0,0,33.525456292026895,Facil
CitaPreviaDGTFacil,51.27,14.6,56,1041,1.2487992315081653,1.344860710854947,1.7291066282420748,0,0,0,0,0,0,33.525456292026895,Facil
CitaPreviaExtranjeriaHuellas,55.73,26.6,26,1495,1.0033444816053512,1.939799331103679,0.33444816053511706,0,0,0,0,0,0,56.8561872909699,Facil
CitaPreviaHacienda,47.81,18.0,36,1179,2.035623409669211,1.9508057675996606,1.8659881255301103,0,0,0,0,0,0,32.65479219677693,Facil
CitaPreviaINEMTelefono,67.46,15.1,19,741,0.8097165991902834,0.5398110661268556,2.699055330634278,0,0,0,0,0,0,45.07422402159244,Facil
CitaPreviaRenovarDNIPasaporte,52.57,13.1,34,893,0.7838745800671892,2.015677491601344,2.3516237402015676,0,0,0,0,0,0,32.474804031354985,Facil
CitaPreviaSanitaria,57.48,13.5,26,658,0.7598784194528876,0.7598784194528876,1.5197568389057752,0,0,0,0,0,0,33.130699088145896,Facil
CitaPreviaSeguridadSocial,52.02,16.5,41,1128,1.5957446808510638,1.4184397163120568,1.4184397163120568,0,0,0,0,0,0,31.20567375886525,Facil
CitaPreviaServicioSanitarioSaludAndaluz,62.4,13.7,26,719,1.2517385257301807,1.5299026425591098,2.5034770514603615,0,0,0,0,0,0,31.57162726008345,Facil
CitaPreviaSescam,51.04,14.4,26,636,0.7861635220125787,1.2578616352201257,0.6289308176100629,0,0,0,0,0,0,29.559748427672957,Facil
CitaPreviaVacunacionMadrid,53.98,12.5,23,519,1.348747591522158,0.1926782273603083,1.5414258188824663,0,0,0,0,0,0,30.828516377649326,Facil
ClasesDeConveniosColectivos,45.92,14.9,12,299,1.3377926421404682,2.6755852842809364,0.33444816053511706,0,0,0,0,0,0,37.123745819397996,Facil
CobrarParoEmpezarTrabajar,53.52,18.1,44,1435,1.8815331010452963,1.5331010452961673,0.975609756097561,0,0,0,0,0,0,28.43205574912892,Facil
CobrarParoEmpresaNoCotiza,49.84,17.6,28,810,1.6049382716049383,0.24691358024691357,1.728395061728395,0,0,0,0,0,0,23.08641975308642,Facil
CobrarParoEnExtranjero,46.66,18.3,51,1456,1.5796703296703296,0.9615384615384616,0.7554945054945055,0,0,0,0,0,0,28.502747252747252,Facil
CobrarParoPluriempleo,57.91,16.8,58,1716,0.7575757575757576,0.40792540792540793,0.2913752913752914,0,0,0,0,0,0,32.05128205128205,Facil
CobrarParoReduceJornada,50.19,19.1,63,1539,1.299545159194282,1.1046133853151396,1.0396361273554255,0,0,0,0,0,0,26.77063027940221,Facil
CobrarParoTrabajarTempoParcial,58.32,17.6,39,1218,1.7241379310344827,0.16420361247947454,1.1494252873563218,0,0,0,0,0,0,28.489326765188835,Facil
CobrarParoTrasBajaVoluntaria,52.47,19.6,50,1707,1.3473930872876392,0.6444053895723492,0.70298769771529,0,0,0,0,0,0,24.487404803749268,Facil
CompromisoActividad,41.99,16.5,35,948,1.5822784810126582,2.4261603375527425,0.8438818565400844,0,0,0,0,0,0,31.645569620253166,Facil
ConjuntoTemporal,49.87,18.0,4746,136795,0.3187250996015936,1.140392558207537,1.4064841551226288,0,0,0,0,0,0,31.962425527248804,Facil
ConsultarDevolucionDeRenta,47.02,14.3,33,1018,1.768172888015717,0.9823182711198428,0.7858546168958742,0,0,0,0,0,0,27.308447937131632,Facil
ConsultarDudasSepe,44.8,29.0,10,401,0.9975062344139651,0.49875311720698257,2.2443890274314215,0,0,0,0,0,0,30.673316708229425,Facil
ContratoEnPracticas,46.92,16.8,72,1936,1.18801652892562,0.7747933884297521,0.3615702479338843,0,0,0,0,0,0,31.198347107438018,Facil
ContratoIndefinido,47.2,19.8,38,1223,1.7988552739165986,1.3082583810302535,0.3270645952575634,0,0,0,0,0,0,27.473426001635325,Facil
ContratoIndefinidoApoyoEmprendedoresFacil,46.13,21.1,37,980,1.9387755102040816,1.6326530612244898,0.40816326530612246,0,0,0,0,0,0,27.551020408163264,Facil
ContratosTemporales,51.6,19.0,46,1431,1.397624039133473,1.187980433263452,0.9783368273934312,0,0,0,0,0,0,31.656184486373167,Facil
ConvenioColectivo,49.57,18.1,43,1245,1.606425702811245,1.1244979919678715,0.5622489959839357,0,0,0,0,0,0,35.58232931726908,Facil
CoordinacionServiciosAutonomicosEmpleo,48.68,20.4,26,1083,1.0156971375807942,0.18467220683287167,1.3850415512465375,0,0,0,0,0,0,29.6398891966759,Facil
CosteDefensaJuicioLaboral,53.8,14.2,72,1846,1.733477789815818,1.1375947995666305,0.8125677139761647,0,0,0,0,0,0,28.602383531960996,Facil
CuandoObligatoriaDeclaracionRentaFacil,49.68,15.1,71,2220,1.0360360360360361,1.3063063063063063,0.9009009009009009,0,0,0,0,0,0,38.828828828828826,Facil
CuentaBancariaFacil,65.33,24.4,14,491,0.814663951120163,1.4256619144602851,3.054989816700611,0,0,0,0,0,0,27.4949083503055,Facil
CurriculumEuropeo,46.03,17.9,29,927,2.0496224379719523,0.970873786407767,1.725997842502697,0,0,0,0,0,0,36.353829557713055,Facil
CursosINEMFacil,52.4,16.8,51,1162,1.6351118760757315,0.8605851979345955,2.667814113597246,0,0,0,0,0,0,38.2960413080895,Facil
